name,category,priceType,price,availabilityNote,featured,sortOrder
Abish Duket,BAKING/ POWEDER / SEASONING,fixed,9.99,Available in-store,TRUE,1
Aja Kinche,BAKING/ POWEDER / SEASONING,fixed,18.99,Available in-store,TRUE,2
Alch Kimem,BAKING/ POWEDER / SEASONING,fixed,5.99,Available in-store,TRUE,3
Barley Porridge,BAKING/ POWEDER / SEASONING,fixed,16.99,Available in-store,TRUE,4
Black Cardamom,BAKING/ POWEDER / SEASONING,fixed,6.99,Available in-store,TRUE,5
Black Cumin,BAKING/ POWEDER / SEASONING,fixed,4.99,Available in-store,TRUE,6
Bread Spice,BAKING/ POWEDER / SEASONING,fixed,6.99,Available in-store,TRUE,7
Butter Spice,BAKING/ POWEDER / SEASONING,fixed,12.99,Available in-store,TRUE,8
C&H Granulated Sugar,BAKING/ POWEDER / SEASONING,fixed,5.5,Available in-store,TRUE,9
C&H Light Brown Sugar,BAKING/ POWEDER / SEASONING,fixed,4,Available in-store,TRUE,10
Caraway Seed,BAKING/ POWEDER / SEASONING,fixed,10.99,Available in-store,TRUE,11
Caraway Seeds Ethiopian,BAKING/ POWEDER / SEASONING,fixed,3.99,Available in-store,TRUE,12
Cardamom Power Ethiopia,BAKING/ POWEDER / SEASONING,fixed,6.99,Available in-store,TRUE,13
Chilli Pepper Mitimita,BAKING/ POWEDER / SEASONING,fixed,7.99,Available in-store,TRUE,14
Cinnamon Bark,BAKING/ POWEDER / SEASONING,fixed,3.99,Available in-store,TRUE,15
Cinnamon Ethiopian Powder,BAKING/ POWEDER / SEASONING,fixed,2.99,Available in-store,TRUE,16
Cinnamon Sticks Mid East,BAKING/ POWEDER / SEASONING,fixed,3.99,Available in-store,TRUE,17
Clarifying Herb,BAKING/ POWEDER / SEASONING,fixed,3.99,Available in-store,TRUE,18
Cookies Vanilla French,BAKING/ POWEDER / SEASONING,fixed,7,Available in-store,TRUE,19
Coriander Powder,BAKING/ POWEDER / SEASONING,fixed,4.99,Available in-store,TRUE,20
Coriander Seed,BAKING/ POWEDER / SEASONING,fixed,4.99,Available in-store,TRUE,21
Cumin Powder,BAKING/ POWEDER / SEASONING,fixed,4.99,Available in-store,TRUE,22
Cumin Seed,BAKING/ POWEDER / SEASONING,fixed,3.99,Available in-store,TRUE,23
Curry Powder,BAKING/ POWEDER / SEASONING,fixed,6.99,Available in-store,TRUE,24
Dabo Kolo,BAKING/ POWEDER / SEASONING,fixed,9.5,Available in-store,TRUE,25
Dirkosh,BAKING/ POWEDER / SEASONING,fixed,17.99,Available in-store,TRUE,26
Dirkosh Small,BAKING/ POWEDER / SEASONING,fixed,12.5,Available in-store,TRUE,27
False Banana,BAKING/ POWEDER / SEASONING,fixed,17.99,Available in-store,TRUE,28
Faragello Vege,BAKING/ POWEDER / SEASONING,fixed,6.99,Available in-store,TRUE,29
Fenugreek Powder,BAKING/ POWEDER / SEASONING,fixed,10,Available in-store,TRUE,30
Fenugreek Seed,BAKING/ POWEDER / SEASONING,fixed,4.99,Available in-store,TRUE,31
Garam Masala Powder,BAKING/ POWEDER / SEASONING,fixed,10.99,Available in-store,TRUE,32
Ginger Ground,BAKING/ POWEDER / SEASONING,fixed,7.99,Available in-store,TRUE,33
Ginger Powder,BAKING/ POWEDER / SEASONING,fixed,10.99,Available in-store,TRUE,34
Ground Turmeric,BAKING/ POWEDER / SEASONING,fixed,9.99,Available in-store,TRUE,35
Hemani Instant Yeast 3 packets (11g),BAKING/ POWEDER / SEASONING,fixed,1.5,Available in-store,TRUE,36
Jowar Flour,BAKING/ POWEDER / SEASONING,fixed,10.99,Available in-store,TRUE,37
Lemon & Pepper Seasoning,BAKING/ POWEDER / SEASONING,fixed,8.99,Available in-store,TRUE,38
Light Roasted Berley Flour (Bosso),BAKING/ POWEDER / SEASONING,fixed,10,Available in-store,TRUE,39
Light Roasted Berley Flour (Bosso) 500g,BAKING/ POWEDER / SEASONING,fixed,6,Available in-store,TRUE,40
Lippia Adoesis,BAKING/ POWEDER / SEASONING,fixed,4.99,Available in-store,TRUE,41
Maggi Chicken Flavored,BAKING/ POWEDER / SEASONING,fixed,8.99,Available in-store,TRUE,42
Maggi Seasoning Cubes,BAKING/ POWEDER / SEASONING,fixed,2,Available in-store,TRUE,43
Maida flour,BAKING/ POWEDER / SEASONING,fixed,7.99,Available in-store,TRUE,44
Maskal Ivory Teff Flour,BAKING/ POWEDER / SEASONING,fixed,47.99,Available in-store,TRUE,45
Mekelesha,BAKING/ POWEDER / SEASONING,fixed,5.99,Available in-store,TRUE,46
Mekmeko Powder,BAKING/ POWEDER / SEASONING,fixed,3.99,Available in-store,TRUE,47
Mitin Atmit,BAKING/ POWEDER / SEASONING,fixed,18.99,Available in-store,TRUE,48
